company_name,category,headline,summary,sentiment_score,is_funding_news,confidence,_source_url,_source_title,_source_time
Sortera,AI,Sortera is turning America’s scrap aluminum problem into cash," Sortera says it has developed a system that can separate aluminum grades with over 95% accuracy . The company uses an AI model that identifies different grades of aluminum based on data from lasers, X-ray fluorescence, and high-speed cameras . The system has to classify each chip — about the size of a large potato chip — in a fraction of a second .",0.001,True,0.8,https://techcrunch.com/2025/11/20/sortera-is-turning-americas-scrap-aluminum-problem-into-cash/,Sortera is turning America’s scrap aluminum problem into cash,"Thu, 20 Nov 2025 13:20:00 +0000"
NestAI,AI,"Finland’s NestAI lands €100M, partners with Nokia to build AI for defense applications"," Finnish startup NestAI has raised €100 million (about $115 million) in a funding round led by Finland’s sovereign fund, Tesi, and Nokia . NestAI will build AI products for use in unmanned vehicles, autonomous operations, and command and control platforms . The funding will help NestAI build “Europe's leading physical AI lab,” co-founder Peter Sarlin said at Slush 2025 .",0.919,True,0.8,https://techcrunch.com/2025/11/20/finlands-nestai-lands-e100m-partners-with-nokia-to-build-ai-for-defense-applications/,"Finland’s NestAI lands €100M, partners with Nokia to build AI for defense applications","Thu, 20 Nov 2025 13:04:11 +0000"
Uber Eats,Product,Uber Eats will use Starship sidewalk robots to deliver food in the UK," Uber Eats is partnering with sidewalk delivery robot company Starship Technologies to deliver food in the U.K. The companies will start the service in the Leeds and Sheffield areas “from select merchants” in December . Starship claims to have nearly 3,000 of its six-wheeled delivery robots in operation around the world .",0.951,False,0.8,https://techcrunch.com/2025/11/20/uber-eats-will-use-starship-sidewalk-robots-to-deliver-food-in-the-uk/,Uber Eats will use Starship sidewalk robots to deliver food in the UK,"Thu, 20 Nov 2025 12:00:00 +0000"
Monarch Tractor,Product,Monarch Tractor preps for layoffs and warns employees it may ‘shut down’," Autonomous electric tractor startup Monarch Tractor warned staff Thursday it may need to lay off more than 100 employees, or possibly even ‘shut down’ The memo comes after the startup was already cutting some positions over the last few weeks at its California corporate facilities and remote teams in India and Singapore . The company raised at least $220 million, including $133 million in 2024, as it pursued a goal of making “driver optional” autonomous tractors that could perform tasks at places like wineries .",0.0,True,0.8,https://techcrunch.com/2025/11/19/monarch-tractor-preps-for-layoffs-and-warns-employees-it-may-shut-down/,Monarch Tractor preps for layoffs and warns employees it may ‘shut down’,"Thu, 20 Nov 2025 02:05:17 +0000"
Nvidia,Product,Nvidia’s record $57B revenue and upbeat forecast quiets AI bubble talk," Nvidia reported revenue of $57 billion in the third quarter, 62% higher compared to the same quarter last year . The company’s net income on a GAAP basis was $32 billion, 65% higher year-over-year . The revenue picture shows a company booming thanks largely to its data center business . The remaining $5.8 billion in revenue came from the gaming business with $4.2 billion .",0.008,False,0.8,https://techcrunch.com/2025/11/19/nvidias-record-57b-revenue-and-upbeat-forecast-quiets-ai-bubble-talk/,Nvidia’s record $57B revenue and upbeat forecast quiets AI bubble talk,"Wed, 19 Nov 2025 22:17:45 +0000"
Ministry of Foreign Affairs,Product,How the classic anime ‘Ghost in the Shell’ predicted the future of cybersecurity 30 years ago," The story of the Puppet Master was ahead of its time may be an understatement . The World Wide Web, essentially what flourished from the internet as we know it today, was invented in 1989, the same year that the first volume of “Ghost in the Shell’s” manga hit newsstands in Japan .",0.004,False,0.8,https://techcrunch.com/2025/11/19/how-the-classic-anime-ghost-in-the-shell-predicted-the-future-of-cybersecurity-30-years-ago/,How the classic anime ‘Ghost in the Shell’ predicted the future of cybersecurity 30 years ago,"Wed, 19 Nov 2025 22:00:32 +0000"
Cavela,Funding,Cavela lands $6.6M to help brands beat pre-tariff manufacturing costs, Cavela raises $6.6 million in seed funding from XYZ Venture Capital and Susa Ventures . The startup helps brands find potential suppliers in over 40 countries and negotiate product specifications and pricing . It estimates that its customers save an average of 35% on production costs .,0.014,True,0.8,https://techcrunch.com/2025/11/19/cavela-lands-6-6m-to-help-brands-beat-pre-tariff-manufacturing-costs/,Cavela lands $6.6M to help brands beat pre-tariff manufacturing costs,"Wed, 19 Nov 2025 21:28:09 +0000"
January Ventures,AI,VC Jennifer Neundorfer explains how founders can stand out in a crowded AI market," January Ventures co-founder Jennifer Neundorfer stopped by the Equity podcast during TechCrunch Disrupt to chat about fundraising in this very AI-driven market . She says a market correction is probably coming, and a lot of the companies getting windfalls of investor money now might not survive . The winners will navigate this moment building “truly category-defining companies”",0.006,True,0.8,https://techcrunch.com/2025/11/19/vc-jennifer-neundorfer-explains-how-founders-can-stand-out-in-a-crowded-ai-market/,VC Jennifer Neundorfer explains how founders can stand out in a crowded AI market,"Wed, 19 Nov 2025 20:30:00 +0000"
Function Health,AI,Function Health raises $298M Series B at $2.5B valuation," Function Health recently raised $298 million in a Series B round led by Redpoint Ventures at a valuation of $2.5 billion . The company recently unveiled Medical Intelligence Lab, an effort to build a “medical intelligence” generative AI model that can be used to provide personalized health insights based on users’ data, content, and research . Function Health offers a regular lab testing service to help people track their health .",0.971,True,0.8,https://techcrunch.com/2025/11/19/function-health-closes-298m-series-b-at-a-2-5b-valuation-launches-medical-intelligence/,Function Health raises $298M Series B at $2.5B valuation,"Wed, 19 Nov 2025 20:30:00 +0000"
Spotify,M&A,Spotify acquires music database WhoSampled," Spotify has acquired WhoSampled, a community-run database tracking sampled music . The London-based site offers an extensive database of songs, samples, covers, remixes, artists, and more . It's now tracking more than 1.2 million songs and nearly 622,000 samples . Deal terms were not disclosed .",0.009,False,0.8,https://techcrunch.com/2025/11/19/spotify-acquires-music-database-whosampled/,Spotify acquires music database WhoSampled,"Wed, 19 Nov 2025 19:59:28 +0000"
